Codigo;fecha;rN mm acumulado;rN mm anual;rS mm acumulado;rS mm anual;rE mm acumulado;rE mm anual;rW mm acumulado;rW mm anual;N;NE;E;SE;S;SW;W;NW
L2A;2005;16;16;15;16;15;16;15;16;0;0;0;0;0;0;0;0
L2A;2006;43;27;39;24;39;24;43;28;0;0;0;0;0;0;0;0
L2A;2007;63;20;57;18;53;14;65;22;0;0;0;0;0;0;0;0
L2A;2008;78;15;69;12;65;12;81;16;0;0;0;0;0;0;0;0
L2A;2009;90;12;81;12;78;13;95;14;0;0;0;0;0;0;0;0
L2A;2010;100;10;90;9;86;8;104;9;0;0;0;0;0;0;0;0
L2A;2011;108;8;98;8;93;7;114;10;0;0;0;0;0;0;0;0
L2A;2012;120;12;109;11;109;16;124;10;0;0;0;0;0;0;0;0
L2A;2013;133;13;128;19;128;19;138;14;0;0;0;0;0;0;0;0
L2A;2014;144;11;145;17;143;15;152;14;0;0;0;0;0;0;0;0
L2A;2015;152;8;154;9;158;15;160;8;0;0;0;0;0;0;0;0
L2A;2016;162;10;168;14;169;11;167;7;0;0;0;0;0;0;0;0
L2A;2017;167;5;176;8;173;4;170;3;0;0;0;0;0;0;0;0
L2A;2018;172;5;181;5;181;8;174;4;0;0;0;0;0;0;0;0
L2A;2019;174;2;183;2;184;3;177;3;0;0;0;0;0;0;0;0
L3A;2004;12;12;10;10;11;11;11;11;0;0;0;0;0;0;0;0
L3A;2005;32;20;26;16;27;16;31;20;0;1;1;0;0;0;0;0
L3A;2006;59;27;47;21;49;22;55;24;1;0;0;0;0;0;0;0
L3A;2007;73;14;59;12;60;11;72;17;1;0;0;0;0;0;0;0
L3A;2008;87;14;73;14;70;10;86;14;0;0;0;0;0;0;0;0
L3A;2009;100;13;84;11;84;14;101;15;0;0;0;0;0;0;0;0
L3A;2010;110;10;93;9;93;9;103;2;0;0;0;0;0;0;0;0
L3A;2011;121;11;102;9;103;10;124;21;0;0;0;0;0;0;0;0
L3A;2012;135;14;110;8;115;12;138;14;1;0;0;0;0;0;0;0
L3A;2013;150;15;120;10;127;12;150;12;0;0;0;0;0;1;0;1
L3A;2014;161;11;135;15;139;12;163;13;0;0;0;0;0;0;0;0
L3A;2015;170;9;148;13;152;13;173;10;0;0;0;0;0;0;0;0
L3A;2016;183;13;164;16;168;16;186;13;1;0;0;0;0;1;0;0
L3A;2017;192;9;173;9;176;8;194;8;0;0;0;0;0;0;0;0
L3A;2018;205;13;182;9;188;12;203;9;0;0;0;0;0;0;0;0
L3A;2019;209;4;190;8;193;5;207;4;0;0;0;0;0;0;0;0
L4A;2004;9;9;8;8;8;8;9;9;0;0;0;0;0;0;0;0
L4A;2005;28;19;24;16;24;16;27;18;0;0;0;0;0;0;0;1
L4A;2006;55;27;48;24;48;24;54;27;1;0;0;0;0;0;0;0
L4A;2007;66;11;59;11;60;12;69;15;0;0;0;0;0;0;0;0
L4A;2008;80;14;75;16;75;15;87;18;1;0;0;0;0;0;1;1
L4A;2009;97;17;91;16;91;16;105;18;0;0;0;0;0;0;1;1
L4A;2010;108;11;100;9;101;10;115;10;0;0;0;0;0;0;0;0
L4A;2011;116;8;109;9;107;6;124;9;0;0;0;0;0;0;0;0
L4A;2012;131;15;117;9;118;11;138;14;1;0;0;0;0;0;0;1
L4A;2013;148;17;129;12;133;15;160;22;1;1;0;0;0;1;1;1
L4A;2014;167;19;143;14;153;20;169;9;0;1;0;0;0;0;0;0
L4A;2015;176;9;158;15;162;9;187;18;1;0;0;0;0;1;1;0
L4A;2016;194;18;166;8;178;16;195;8;1;1;0;1;1;0;0;0
L4A;2017;200;6;174;8;187;9;201;6;1;1;0;1;1;1;1;0
L4A;2018;205;5;183;9;194;7;205;4;0;0;0;0;0;0;0;0
L4A;2019;209;4;187;4;198;4;207;2;0;0;0;0;0;0;0;0
L7A;2004;5;5;6;6;5;5;5;5;0;0;0;0;0;0;0;0
L7A;2005;24;19;24;18;23;18;23;18;1;1;0;0;0;0;0;0
L7A;2006;46;22;48;24;46;23;45;22;1;1;0;0;0;0;0;0
L7A;2007;60;14;60;12;60;14;60;15;1;0;1;0;0;0;0;0
